250 0.998151 0.000039 0.998137 0.998165 0.998154
260 0.998175 0.000046 0.998159 0.998192 0.998185
270 0.998161 0.000050 0.998143 0.998179 0.998178
280 0.998160 0.000051 0.998141 0.998178 0.998150
290 0.998175 0.000038 0.998161 0.998188 0.998177
300 0.998176 0.000057 0.998155 0.998196 0.998180
310 0.998179 0.000035 0.998166 0.998191 0.998184
320 0.998175 0.000041 0.998160 0.998190 0.998169
330 0.998183 0.000034 0.998171 0.998195 0.998181
340 0.998179 0.000039 0.998165 0.998193 0.998177
350 0.998175 0.000032 0.998164 0.998186 0.998171
360 0.998183 0.000042 0.998168 0.998198 0.998193
370 0.998174 0.000028 0.998164 0.998184 0.998174
380 0.998170 0.000038 0.998157 0.998184 0.998167
390 0.998171 0.000040 0.998157 0.998186 0.998173
400 0.998173 0.000043 0.998158 0.998188 0.998174
410 0.998172 0.000037 0.998158 0.998185 0.998177
420 0.998168 0.000039 0.998154 0.998182 0.998161
430 0.998157 0.000036 0.998144 0.998170 0.998155
440 0.998161 0.000037 0.998148 0.998174 0.998156
450 0.998147 0.000034 0.998135 0.998159 0.998143
460 0.998151 0.000043 0.998136 0.998167 0.998155
470 0.998154 0.000034 0.998142 0.998166 0.998161
480 0.998146 0.000029 0.998136 0.998156 0.998154
490 0.998139 0.000036 0.998126 0.998152 0.998140
500 0.998142 0.000030 0.998131 0.998152 0.998148
510 0.998133 0.000037 0.998119 0.998146 0.998131
520 0.998128 0.000037 0.998115 0.998141 0.998138
530 0.998118 0.000030 0.998108 0.998129 0.998122
540 0.998110 0.000027 0.998100 0.998119 0.998105
550 0.998111 0.000035 0.998098 0.998123 0.998109
560 0.998097 0.000041 0.998083 0.998112 0.998103
570 0.998086 0.000029 0.998076 0.998097 0.998080
580 0.998086 0.000030 0.998075 0.998096 0.998088
590 0.998086 0.000044 0.998070 0.998102 0.998087
600 0.998082 0.000040 0.998068 0.998097 0.998080
610 0.998069 0.000033 0.998058 0.998081 0.998066
620 0.998056 0.000042 0.998040 0.998071 0.998059
630 0.998057 0.000035 0.998045 0.998070 0.998055
640 0.998046 0.000042 0.998031 0.998061 0.998042
650 0.998028 0.000041 0.998013 0.998042 0.998028
660 0.998022 0.000031 0.998011 0.998033 0.998027
670 0.998011 0.000037 0.997997 0.998024 0.998014
680 0.998006 0.000043 0.997990 0.998021 0.998001
690 0.997992 0.000035 0.997980 0.998005 0.997997
700 0.997969 0.000041 0.997954 0.997983 0.997964
710 0.997951 0.000031 0.997940 0.997962 0.997961
720 0.997935 0.000038 0.997921 0.997949 0.997931
730 0.997926 0.000054 0.997907 0.997945 0.997927
740 0.997907 0.000045 0.997891 0.997923 0.997913
750 0.997876 0.000049 0.997859 0.997894 0.997872
760 0.997847 0.000048 0.997830 0.997865 0.997854
770 0.997808 0.000048 0.997791 0.997825 0.997808
780 0.997749 0.000154 0.997694 0.997804 0.997774
790 0.997657 0.000399 0.997514 0.997799 0.997745
800 0.997503 0.000517 0.997318 0.997688 0.997688
810 0.997287 0.000729 0.997026 0.997548 0.997599
820 0.996840 0.000983 0.996488 0.997191 0.997327
830 0.996260 0.001445 0.995743 0.996777 0.996989
840 0.995063 0.002196 0.994277 0.995849 0.995639
850 0.993154 0.002941 0.992101 0.994206 0.993087
860 0.990120 0.004120 0.988645 0.991594 0.989881
870 0.986058 0.005098 0.984234 0.987883 0.986123
880 0.981096 0.006023 0.978941 0.983252 0.980745
890 0.975447 0.006829 0.973003 0.977890 0.975048
900 0.969036 0.007512 0.966348 0.971724 0.968080
