0.0	0.471428 0.289142 0.367960 0.574897
0.01	0.470314 0.260366 0.377143 0.563484
0.0116591	0.469410 0.259375 0.376594 0.562226
0.0135936	0.467965 0.254867 0.376762 0.559168
0.0158489	0.465248 0.250901 0.375464 0.555031
0.0184785	0.463100 0.246537 0.374878 0.551322
0.0215443	0.461335 0.243499 0.374200 0.548470
0.0251189	0.458007 0.237962 0.372854 0.543161
0.0292864	0.453085 0.230807 0.370492 0.535679
0.0341455	0.448890 0.226727 0.367757 0.530024
0.0398107	0.443603 0.220490 0.364701 0.522504
0.0464159	0.436977 0.212627 0.360889 0.513064
0.054117	0.428984 0.204306 0.355874 0.502094
0.0630957	0.418693 0.196361 0.348426 0.488960
0.0735642	0.407591 0.184360 0.341619 0.473564
0.0857696	0.394309 0.173718 0.332145 0.456473
0.1	0.379789 0.161207 0.322102 0.437477
0.116591	0.364024 0.148343 0.310940 0.417108
0.135936	0.344665 0.134031 0.296703 0.392628
0.158489	0.323100 0.121376 0.279666 0.366534
0.184785	0.298810 0.107169 0.260460 0.337160
0.215443	0.268815 0.088534 0.237134 0.300497
0.251189	0.244521 0.072090 0.218725 0.270318
0.292864	0.210781 0.056190 0.190673 0.230888
0.341455	0.177808 0.039132 0.163805 0.191811
0.398107	0.143727 0.025809 0.134491 0.152962
0.464159	0.115097 0.016665 0.109134 0.121061
0.54117	0.079586 0.009133 0.076318 0.082855
0.630957	0.056433 0.006977 0.053936 0.058930
0.735642	0.035895 0.005909 0.033781 0.038010
0.857696	0.031851 0.010815 0.027981 0.035721
1	0.027536 0.005603 0.025531 0.029541
1	0.027536 0.005603 0.025531 0.029541
1.0	0.028463 0.009337 0.025122 0.031804
