0.0	7.024020 1.615780 6.576148 7.471891
0.01	4.099954 1.589149 3.659464 4.540443
0.0116591	4.613728 1.598357 4.170686 5.056770
0.0135936	4.164169 1.294878 3.805247 4.523091
0.0158489	4.166886 1.588531 3.726567 4.607204
0.0184785	4.359139 1.388713 3.974207 4.744070
0.0215443	3.600521 1.369094 3.221028 3.980015
0.0251189	3.618441 1.233036 3.276661 3.960221
0.0292864	3.729699 1.308798 3.366918 4.092479
0.0341455	3.658742 1.320836 3.292625 4.024859
0.0398107	3.547247 1.267014 3.196048 3.898445
0.0464159	3.555688 1.242859 3.211185 3.900191
0.054117	3.545849 1.245165 3.200707 3.890991
0.0630957	3.324121 1.180188 2.996990 3.651252
0.0735642	3.063248 1.107825 2.756175 3.370322
0.0857696	3.133214 1.160563 2.811523 3.454906
0.1	3.065452 1.153780 2.745641 3.385264
0.116591	2.954794 1.118135 2.644862 3.264725
0.135936	2.891191 1.095023 2.587666 3.194716
0.158489	2.912143 1.077194 2.613560 3.210726
0.184785	2.772031 1.061881 2.477693 3.066369
0.215443	2.821563 1.084169 2.521046 3.122079
0.251189	2.730504 1.066816 2.434797 3.026210
0.292864	2.606390 1.029910 2.320913 2.891866
0.341455	2.624636 1.038920 2.336662 2.912610
0.398107	2.557625 1.022483 2.274207 2.841042
0.464159	2.515065 1.009522 2.235240 2.794890
0.54117	2.480864 1.003778 2.202631 2.759097
0.630957	2.438718 0.990359 2.164204 2.713231
0.735642	2.384139 0.977433 2.113208 2.655069
0.857696	2.301700 0.954208 2.037207 2.566193
1	2.210495 0.932330 1.952067 2.468924
1	2.210495 0.932330 1.952067 2.468924
1.0	2.195722 0.926819 1.938821 2.452623
