0.0	0.593512 0.239413 0.527150 0.659874
0.01	0.586523 0.232827 0.521986 0.651059
0.0116591	0.585392 0.229641 0.521738 0.649045
0.0135936	0.581264 0.225395 0.518788 0.643741
0.0158489	0.587922 0.230049 0.524155 0.651688
0.0184785	0.580956 0.224578 0.518706 0.643206
0.0215443	0.572148 0.215530 0.512406 0.631890
0.0251189	0.581456 0.223101 0.519616 0.643297
0.0292864	0.574545 0.216184 0.514622 0.634468
0.0341455	0.565017 0.208465 0.507234 0.622801
0.0398107	0.562057 0.203741 0.505583 0.618531
0.0464159	0.555672 0.197428 0.500947 0.610396
0.054117	0.557139 0.198344 0.502161 0.612117
0.0630957	0.543298 0.184822 0.492068 0.594528
0.0735642	0.536971 0.176952 0.487923 0.586020
0.0857696	0.530166 0.170561 0.482888 0.577443
0.1	0.513792 0.159694 0.469527 0.558057
0.116591	0.501472 0.150516 0.459751 0.543193
0.135936	0.488094 0.139512 0.449423 0.526765
0.158489	0.465893 0.120913 0.432378 0.499409
0.184785	0.439642 0.104110 0.410784 0.468500
0.215443	0.420204 0.096925 0.393338 0.447070
0.251189	0.388865 0.077699 0.367328 0.410402
0.292864	0.367921 0.070099 0.348490 0.387351
0.341455	0.329138 0.048637 0.315657 0.342620
0.398107	0.292660 0.039229 0.281787 0.303534
0.464159	0.240314 0.030610 0.231830 0.248799
0.54117	0.207934 0.023160 0.201514 0.214353
0.630957	0.156946 0.021192 0.151072 0.162820
0.735642	0.114029 0.020339 0.108391 0.119667
0.857696	0.082854 0.013540 0.079101 0.086607
1	0.093111 0.015753 0.088744 0.097478
1	0.093111 0.015753 0.088744 0.097478
1.0	0.096595 0.015079 0.092415 0.100774
