0.0	16.914096 3.732183 15.578551 18.249640
0.01	6.594232 2.090626 5.846112 7.342353
0.0116591	6.172590 2.003263 5.455732 6.889449
0.0135936	5.994626 1.947063 5.297879 6.691374
0.0158489	5.473642 1.845080 4.813388 6.133895
0.0184785	5.402172 1.815694 4.752434 6.051910
0.0215443	5.036262 1.740092 4.413578 5.658946
0.0251189	4.898796 1.705919 4.288340 5.509251
0.0292864	4.489999 1.622398 3.909431 5.070567
0.0341455	4.376076 1.588775 3.807540 4.944611
0.0398107	4.111428 1.538875 3.560749 4.662107
0.0464159	4.052483 1.497516 3.516604 4.588362
0.054117	3.764121 1.441931 3.248133 4.280109
0.0630957	3.619527 1.396725 3.119715 4.119339
0.0735642	3.469440 1.358439 2.983329 3.955551
0.0857696	3.358007 1.326013 2.883499 3.832514
0.1	3.245837 1.293023 2.783134 3.708539
0.116591	3.136090 1.256208 2.686562 3.585618
0.135936	3.016288 1.222476 2.578831 3.453746
0.158489	2.927117 1.196609 2.498916 3.355318
0.184785	2.837902 1.170174 2.419161 3.256644
0.215443	2.750518 1.142763 2.341585 3.159450
0.251189	2.685365 1.121072 2.284195 3.086536
0.292864	2.613126 1.096331 2.220809 3.005443
0.341455	2.557955 1.076701 2.172663 2.943248
0.398107	2.504748 1.056188 2.126796 2.882700
0.464159	2.457122 1.039824 2.085026 2.829219
0.54117	2.418472 1.025933 2.051347 2.785598
0.630957	2.385721 1.014299 2.022759 2.748683
0.735642	2.367755 1.008718 2.006789 2.728720
0.857696	2.361097 1.006008 2.001102 2.721093
1	2.360221 1.004554 2.000746 2.719696
1	2.360221 1.004554 2.000746 2.719696
1.0	2.358012 1.003666 1.998854 2.717169
